wordform,fst_analyses
madaabiid,"['madaabii+VAI+Cnj+Pos+Neu+3SgProxSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+3SgProxSubj+0PlObj']"
madaabiiyaang,"['madaabii+VAI+Cnj+Pos+Neu+ExclSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+ExclSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+ExclSubj+0PlObj']"
madaabiiyang,"['madaabii+VAI+Cnj+Pos+Neu+InclSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+InclSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+InclSubj+0PlObj']"
minongwaaming,"['minongwaam+VAI+Cnj+Pos+Neu+XSubj', 'minongwaami+VAI+Cnj+Pos+Neu+XSubj']"
madaabiing,"['madaabii+VAI+Cnj+Pos+Neu+XSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+XSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+XSubj+0PlObj']"
madaabiisiwaambaan,"['madaabii+VAI+Cnj+Neg+Prt+1SgSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+1SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+1SgSubj+0SgObj']"
madaabiisiwegiban,"['madaabii+VAI+Cnj+Neg+Prt+2PlSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+2PlSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+2PlSubj+0SgObj']"
madaabiisiwamban,"['madaabii+VAI+Cnj+Neg+Prt+2SgSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+2SgSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+2SgSubj+0SgObj']"
zaaga'anzinigoban,"[""zaaga'am+VAI+Cnj+Neg+Prt+3PlObvSubj"", ""zaaga'am+VAI+Cnj+Neg+Prt+3SgObvSubj""]"
minongwaanzinigoban,"['minongwaam+VAI+Cnj+Neg+Prt+3PlObvSubj', 'minongwaam+VAI+Cnj+Neg+Prt+3SgObvSubj']"
wanishinzinigoban,"['wanishin+VAI+Cnj+Neg+Prt+3PlObvSubj', 'wanishin+VAI+Cnj+Neg+Prt+3SgObvSubj']"
nagamosinigoban,"['nagamo+VAI+Cnj+Neg+Prt+3PlObvSubj', 'nagamo+VAI+Cnj+Neg+Prt+3SgObvSubj']"
niimisinigoban,"['niimi+VAI+Cnj+Neg+Prt+3PlObvSubj', 'niimi+VAI+Cnj+Neg+Prt+3SgObvSubj']"
maajiibatoosinigoban,"['maajiibatoo+VAI+Cnj+Neg+Prt+3PlObvSubj', 'maajiibatoo+VAI+Cnj+Neg+Prt+3SgObvSubj']"
madaabiisinigoban,"['madaabii+VAI+Cnj+Neg+Prt+3PlObvSubj', 'madaabii+VAI+Cnj+Neg+Prt+3SgObvSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+3PlObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+3SgObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+3PlObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Prt+3SgObvSubj+0SgObj']"
nibaasinigoban,"['nibaa+VAI+Cnj+Neg+Prt+3PlObvSubj', 'nibaa+VAI+Cnj+Neg+Prt+3SgObvSubj']"
webinigesinigoban,"['webinige+VAI+Cnj+Neg+Prt+3PlObvSubj', 'webinige+VAI+Cnj+Neg+Prt+3SgObvSubj']"
madaabiisigwaaban,"['madaabii+VAI+Cnj+Neg+Prt+3PlProxSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+3PlProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+3PlProxSubj+0SgObj']"
madaabiisigoban,"['madaabii+VAI+Cnj+Neg+Prt+3SgProxSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+3SgProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+3SgProxSubj+0SgObj']"
madaabiisiwaangiban,"['madaabii+VAI+Cnj+Neg+Prt+ExclSubj', 'madaabiin+VAIO+Cnj+Neg+Prt+ExclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Prt+ExclSubj+0SgObj']"
