,wordform,fst_analyses
79,nimizhogosiinaadogenag,"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+ExclObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+ExclObj']"
80,gimizhogosiinaadogenag,"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+InclObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+InclObj']"
81,omikaagosiiwaadogenan,"['mikaw+VTA+Ind+Neg+Dub+3SgObvSubj+3PlProxObj', 'mikaw+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
82,owaabamigosiiwaadogenan,"['waabam+VTA+Ind+Neg+Dub+3SgObvSubj+3PlProxObj', 'waabam+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
83,omizhogosiiwaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+3SgObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+3SgObvSubj+3PlProxObj', 'mizhwi+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
84,omiinigosiiwaadogenan,"['miizh+VTA+Ind+Neg+Dub+3SgObvSubj+3PlProxObj', 'miizh+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
85,omawadisigosiiwaadogenan,"['mawadish+VTA+Ind+Neg+Dub+3SgObvSubj+3PlProxObj', 'mawadish+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
86,omikaagosiidogenan,"['mikaw+VTA+Ind+Neg+Dub+3SgObvSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
87,owaabamigosiidogenan,"['waabam+VTA+Ind+Neg+Dub+3SgObvSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
88,omizhogosiidogenan,"['mizhwi+VTA+Ind+Neg+Dub+3SgObvSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+3SgObvSubj+3SgProxObj', 'mizhwi+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
89,omiinigosiidogenan,"['miizh+VTA+Ind+Neg+Dub+3SgObvSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
90,omawadisigosiidogenan,"['mawadish+VTA+Ind+Neg+Dub+3SgObvSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
91,nimizhogosiidog,"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+1SgObj']"
92,gimizhogosiiwaadog,"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+2PlObj']"
93,gimizhogosiidog,"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+2SgObj']"
94,omizhwaasiidogena',"['mizhwi+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+3SgProxSubj+3PlObvObj']"
